Pressure,Hardness,Temp
9.5,14.814,70.61056056
8.4,17.502,73.34893028
9.8,14.007,66.15376668
11,19.443,70.05780919
8.3,7.573,69.33918821
9.9,14.191,69.12881973
8.6,9.714,69.83351437
6.4,8.076,64.36616592
7,5.304,65.41039316
8.2,10.728,67.76738766
17.4,43.243,69.70052544
15,25.319,66.9309547
15.2,28.028,71.5236185
16.4,41.792,66.60747596
16.7,49.499,67.98685265
15.4,25.312,64.2932364
15,26.222,64.48342855
14.5,22.148,71.30840163
14.8,26.751,69.58754784
13.6,18.036,71.13320693
25.6,96.305,72.0970662
24.4,72.594,67.32207191
23.3,49.512,66.65596722
19.5,32.207,68.12259214
21.2,48.218,66.45621185
22.8,70.453,65.66779232
21.7,47.661,66.27887348
19.8,38.138,69.41473519
21.3,53.045,68.26481694
